"","Zip","City","State","Latitude","Longitude","Timezone","Daylight savings time flag","geopoint"
"1602","84762","Duck Creek Village","UT",37.48474,-112.71064,-7,1,"37.48474,-112.71064"
"1603","40210","Louisville","KY",38.23067,-85.78665,-5,1,"38.23067,-85.78665"
"1604","47615","Grandview","IN",37.965531,-86.95436,-6,1,"37.965531,-86.95436"
"1605","40747","London","KY",37.137615,-84.115617,-5,1,"37.137615,-84.115617"
"1606","40803","Asher","KY",37.046365,-83.42003,-5,1,"37.046365,-83.42003"
"1607","40867","Smith","KY",36.712383,-83.33711,-5,1,"36.712383,-83.33711"
"1608","41735","Delphia","KY",37.029744,-83.08919,-5,1,"37.029744,-83.08919"
"1609","42323","Beechmont","KY",37.172261,-87.03677,-6,1,"37.172261,-87.03677"
"1610","47705","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"1611","47842","Clinton","IN",39.66851,-87.43577,-5,0,"39.66851,-87.43577"
"1612","40584","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1613","46546","Mishawaka","IN",41.688432,-86.196485,-5,0,"41.688432,-86.196485"
"1614","41562","Shelbiana","KY",37.416995,-82.4571,-5,1,"37.416995,-82.4571"
"1615","42109","Bowling Green","KY",36.961988,-86.450786,-6,1,"36.961988,-86.450786"
"1616","40209","Louisville","KY",38.19187,-85.75298,-5,1,"38.19187,-85.75298"
"1617","42129","Edmonton","KY",36.988613,-85.58534,-6,1,"36.988613,-85.58534"
"1618","46515","Elkhart","IN",41.641449,-85.938348,-5,0,"41.641449,-85.938348"
"1619","46613","South Bend","IN",41.654547,-86.25043,-5,0,"41.654547,-86.25043"
"1620","47257","North Vernon","IN",39.005651,-85.611994,-5,0,"39.005651,-85.611994"
"1621","41083","Sanders","KY",38.666588,-84.96756,-5,1,"38.666588,-84.96756"
